bill, amendment_url, year
S.1233, https://www.congress.gov/bill/106th-congress/senate-bill/1233/amendments, 2000
S.1217, https://www.congress.gov/bill/106th-congress/senate-bill/1217/amendments, 2000
S.1186, https://www.congress.gov/bill/106th-congress/senate-bill/1186/amendments, 2000
S.1234, https://www.congress.gov/bill/106th-congress/senate-bill/1234/amendments, 2000
H.R.2466, https://www.congress.gov/bill/106th-congress/house-bill/2466/amendments, 2000
H.R.2084, https://www.congress.gov/bill/106th-congress/house-bill/2084/amendments, 2000
S.1143, https://www.congress.gov/bill/106th-congress/senate-bill/1143/amendments, 2000
H.R.2490, https://www.congress.gov/bill/106th-congress/house-bill/2490/amendments, 2000
S.1282, https://www.congress.gov/bill/106th-congress/senate-bill/1282/amendments, 2000
H.R.2684, https://www.congress.gov/bill/106th-congress/house-bill/2684/amendments, 2000
H.R.4328, https://www.congress.gov/bill/105th-congress/house-bill/4328/amendments, 1999
H.R.4101, https://www.congress.gov/bill/105th-congress/house-bill/4101/amendments, 1999
S.2159, https://www.congress.gov/bill/105th-congress/senate-bill/2159/amendments, 1999
H.R.4276, https://www.congress.gov/bill/105th-congress/house-bill/4276/amendments, 1999
S.2260, https://www.congress.gov/bill/105th-congress/senate-bill/2260/amendments, 1999
H.R.4103, https://www.congress.gov/bill/105th-congress/house-bill/4103/amendments, 1999
S.2132, https://www.congress.gov/bill/105th-congress/senate-bill/2132/amendments, 1999
H.R.4380, https://www.congress.gov/bill/105th-congress/house-bill/4380/amendments, 1999
H.R.4060, https://www.congress.gov/bill/105th-congress/house-bill/4060/amendments, 1999
S.2138, https://www.congress.gov/bill/105th-congress/senate-bill/2138/amendments, 1999
H.R.4569, https://www.congress.gov/bill/105th-congress/house-bill/4569/amendments, 1999
S.2334, https://www.congress.gov/bill/105th-congress/senate-bill/2334/amendments, 1999
H.R.4193, https://www.congress.gov/bill/105th-congress/house-bill/4193/amendments, 1999
S.2237, https://www.congress.gov/bill/105th-congress/senate-bill/2237/amendments, 1999
H.R.4274, https://www.congress.gov/bill/105th-congress/house-bill/4274/amendments, 1999
H.R.4112, https://www.congress.gov/bill/105th-congress/house-bill/4112/amendments, 1999
H.R.4059, https://www.congress.gov/bill/105th-congress/house-bill/4059/amendments, 1999
H.R.4328, https://www.congress.gov/bill/105th-congress/house-bill/4328/amendments, 1999
S.2307, https://www.congress.gov/bill/105th-congress/senate-bill/2307/amendments, 1999
H.R.4104, https://www.congress.gov/bill/105th-congress/house-bill/4104/amendments, 1999
S.2312, https://www.congress.gov/bill/105th-congress/senate-bill/2312/amendments, 1999
H.R.4194, https://www.congress.gov/bill/105th-congress/house-bill/4194/amendments, 1999
S.2168, https://www.congress.gov/bill/105th-congress/senate-bill/2168/amendments, 1999
