Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",125.94,-3.02,-2.34%,129.74,125.61,1897300,2022-10-20
AAL,"American Airlines Gp",13.46,-0.53,-3.79%,14.27,13.43,58239699,2022-10-20
AAP,"Advance Auto Parts Inc",170.28,-0.97,-0.57%,173.86,169.4,551700,2022-10-20
AAPL,"Apple Inc",143.39,-0.47,-0.33%,145.89,142.65,64521902,2022-10-20
ABBV,"Abbvie Inc",142.93,-0.19999999999999,-0.14%,144.0367,142.43,3880100,2022-10-20
ABC,"Amerisourcebergen Corp",142.77,-0.22,-0.15%,143.33,141.58,877600,2022-10-20
ABMD,"Abiomed Inc",252.51,-0.73,-0.29%,255.84,250.11,216900,2022-10-20
ABT,"Abbott Laboratories",95.21,-2.9,-2.96%,97.74,95.01,12651100,2022-10-20
ACN,"Accenture Plc",261.78,-2.28,-0.86%,269.66,260.63,1970100,2022-10-20
ADBE,"Adobe Systems Inc",302.38,2.55,+0.85%,309.19,299.34,3621500,2022-10-20
ADI,"Analog Devices",142.08,0.75,+0.53%,146.75,141.25,3341000,2022-10-20
ADM,"Archer Daniels Midland",88.33,-0.019999999999996,-0.02%,89.71,88.03,3182200,2022-10-20
ADP,"Automatic Data Procs",229.48,-3.76,-1.61%,234.7,228.88,1314300,2022-10-20
ADSK,"Autodesk Inc",197.83,0.81,+0.41%,203.6,196.85,743000,2022-10-20
AEE,"Ameren Corp",76.62,-1.94,-2.47%,78.28,76.27,1465700,2022-10-20
AEP,"American Electric Power Company",83.93,-1.97,-2.29%,86.29,83.54,3165500,2022-10-20
AES,"The Aes Corp",23.48,-0.65,-2.69%,24.16,23.28,2936300,2022-10-20
AFL,"Aflac Inc",59.15,-0.99,-1.65%,60.33,58.92,2243700,2022-10-20
AIG,"American International Group",51.85,-0.9,-1.71%,52.965,51.55,4473700,2022-10-20
AIZ,"Assurant Inc",145.3,-6.69,-4.40%,150.14,144.85,392500,2022-10-20
AJG,"Arthur J. Gallagher & Company",173.82,-4.23,-2.38%,177.01,172.895,1043900,2022-10-20
AKAM,"Akamai Technologies",84.16,1.22,+1.47%,85.68,83.22,1374400,2022-10-20
ALB,"Albemarle Corp",255.39,-1.12,-0.44%,261.22,252.61,1067800,2022-10-20
