GVKEY,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,cusip
001004,LU,54594,20000,19720424,E,000361105
001045,LC,21020,20010,20131209,E,02376R102
001045,LC,21020,20010,19620131,20120104,02376R102
001045,LC,21020,20010,19500101,19620130,02376R102
001075,LU,27991,21409,19620131,E,723484101
001076,LC,10517,5674,19821104,19921231,74319R101
001076,LC,10517,5674,20101201,E,74319R101
001076,LC,10517,5674,19930101,20101130,74319R101
001078,LC,20482,20017,19500101,19620130,002824100
001078,LC,20482,20017,19620131,E,002824100
001111,LC,79678,12499,19931022,20080709,004930202
001161,LU,61241,211,19721214,E,007903107
001177,LC,88845,41072,20001214,20181130,00817Y108
001186,LC,78223,26174,19821101,E,008474108
001209,LC,28222,20030,19620131,E,009158106
001230,LU,28804,20035,19660131,E,011659109
001254,LU,11691,157,19721214,E,57686G105
001274,LC,71271,20043,19870130,E,017175100
001300,LC,10145,22168,19620131,E,438516106
001300,LC,10145,22168,19500101,19620130,438516106
001327,LU,45911,20058,19680313,E,83088M102
001356,LC,24643,20060,19620131,20161031,013817507
001356,LC,24643,20060,19510611,19620130,013817507
001380,LC,28484,20064,19640331,E,42809H107
001382,LC,90893,47434,20050927,20131231,90341W108
001393,LU,81073,30020,19941103,E,023586100
001410,LU,47730,20068,19690213,E,000957100
001414,LC,93330,53383,20100401,E,74164M108
001439,LC,12758,7019,19840509,E,91734M103
001440,LC,24109,20077,19510101,19620130,025537101
001440,LC,24109,20077,19620131,E,025537101
001447,LU,59176,90,19721214,E,025816109
001449,LU,57904,92,19730823,E,001055102
001487,LC,66800,137,19721214,E,026874784
001554,LC,58560,82,19721214,20160909,029429107
001598,LC,85257,32054,19970808,E,031100100
001602,LU,14008,216,19830617,E,031162100
001632,LC,60871,282,19721214,E,032654105
001633,LU,14198,173,19721214,20180629,032657207
001659,LU,83112,14382,19960220,E,034164103
001661,LC,29102,20201,19680131,E,G6359F137
001678,LC,39490,20204,19640131,E,03743Q108
001686,LU,14526,317,19730131,E,037598109
001690,LU,14593,7,19801212,E,037833100
001704,LU,14702,194,19721214,E,038222105
001706,LC,11581,323,19870805,E,292765104
001722,LC,10516,20207,19620131,E,039483102
001722,LC,10516,20207,19490701,19620130,039483102
001743,LC,77595,11512,19920513,E,03937C105
001773,LU,29209,20217,19660429,E,042735100
001794,LC,24272,20222,19620131,E,044186104
001820,LU,15537,5225,19811208,E,04638F108
001823,LU,15457,397,19781130,E,046433108
001823,LU,15457,397,19740101,19781129,046433108
001837,LC,15553,116,19721214,20160630,84399X001
001860,LC,15721,403,19721214,20171005,050095108
001864,LU,68830,7135,19840717,E,761624105
001878,LU,85631,7623,19850731,E,052769106
001891,LC,44644,20235,19670626,E,053015103
001913,LU,44601,20238,19670620,E,053611109
001919,LU,27684,20239,19620131,E,053807103
001920,LU,40416,20240,19640420,20200131,054303102
001932,LC,59504,20243,19761221,E,110448107
001968,LU,53110,20250,19710831,E,056525108
001974,LU,52484,20252,19710512,20131031,057149106
001976,LC,75034,20253,19870424,20170704,057224107
001979,LU,10318,8237,19860603,E,057665200
001988,LU,57568,20257,19721214,E,058498106
002005,LU,16548,589,19721214,E,062540109
002019,LC,49656,20265,19691204,E,064058100
002025,LU,61938,20248,19800814,20140430,05564E106
002044,LC,46877,20268,19680930,20171228,067383109
002049,LU,39693,20270,19631014,E,067806109
002055,LU,71298,20065,19850201,E,067901108
002086,LC,27887,20277,19620131,E,071813109
002101,LU,29612,20283,19620702,E,03820C105
002111,LU,39642,20284,19630925,E,075887109
002136,LC,65875,20288,19831130,E,92343V104
002137,LC,29647,20245,19760818,E,05534B760
002176,LC,17778,540,19761014,20100131,084670702
002176,LC,17778,540,20100201,E,084670702
002184,LU,85914,7506,19850531,E,086516101
002220,LC,61508,655,19820129,E,090572207
002220,LC,61508,655,19741018,19820128,090572207
002259,LC,61946,511,19721214,E,092113109
002269,LU,49373,20309,19691013,E,093671105
002270,LC,93159,53296,20120522,20200817,G9460G101
002271,LC,65154,20310,19830718,20160429,095180105
002285,LU,19561,20315,19620131,E,097023105
002285,LU,19561,20315,19500101,19620130,097023105
002312,LU,52230,469,19710415,E,770323103
002369,LC,85259,32056,19970809,E,112585104
002393,LU,17961,20330,19500101,19620130,109043109
002393,LU,17961,20330,19620131,20210107,109043109
002403,LU,19393,20331,19620131,E,110122108
002403,LU,19393,20331,19500101,19620130,110122108
002408,LC,13786,40157,20130204,E,87971M103
002410,LU,29890,20333,19620702,E,055622104
002411,LU,66835,20336,19841203,20190930,05577E101
002444,LU,10874,20344,19620131,E,117043109
002444,LU,10874,20344,19500101,19620130,117043109
002497,LU,19880,678,19721214,E,576323109
002504,LU,10890,21814,19620131,E,909214306
002504,LU,10890,21814,19500101,19620130,909214306
002536,LC,20117,6702,19840131,E,53815P108
002547,LC,64186,20357,19820420,E,125523100
002574,LC,62148,20370,19801113,E,126408103
002577,LU,28564,20371,19620604,E,126501105
002593,LU,46690,20374,19680823,E,127055101
002596,LU,20512,727,19790330,E,127190304
002627,LC,62156,20378,19801231,19900228,13099X102
002663,LU,25320,20384,19620131,E,134429109
002696,LU,84181,27520,19961202,E,136375102
002697,LC,30277,20386,19710730,20130328,65334H102
002698,LC,89125,41990,20011003,E,13645T100
002710,LC,64899,1015,19730228,19930831,21036P108
002710,LC,64899,1015,19930901,E,21036P108
002721,LC,21152,748,19740101,19740130,138006309
002721,LC,21152,748,19740131,E,138006309
002751,LC,21371,6262,19830804,E,14149Y108
002771,LU,27334,20392,19620131,E,142339100
002787,LU,20618,20398,19620131,E,144285103
002787,LU,20618,20398,19490701,19620130,144285103
002807,LU,21742,6515,19831020,E,147528103
002817,LC,18542,20408,19620131,E,149123101
002817,LC,18542,20408,19500101,19620130,149123101
002818,LU,11267,9117,19870422,E,149205106
002884,LC,60599,20421,19721214,E,550241103
002940,LC,90011,25268,20040106,20220131,559079207
002942,LC,22825,904,19890418,20210630,138098108
002960,LU,64194,20435,19721214,E,16359R103
002968,LC,47896,20436,19690305,E,46625H100
002986,LU,23182,892,19770101,19770130,165303108
002986,LU,23182,892,19770131,E,165303108
002990,LC,88208,37489,20000531,E,15117N602
002991,LU,14541,20440,19620131,E,166764100
002991,LU,14541,20440,19500101,19620130,166764100
003007,LU,23297,6760,19840106,E,109641100
003024,LC,59192,900,19740131,20160114,171232101
003024,LC,59192,900,19740101,19740130,171232101
003026,LU,23393,1103,19761230,E,171340102
003028,LC,79026,27849,19930329,E,171484108
003062,LC,23660,6304,19830819,E,172908105
003078,LC,23887,925,19820129,19970731,17499X935
003078,LC,23887,925,19970801,20000830,17499X935
003082,LC,23916,1194,19810101,20151030,178566105
003093,LU,23975,952,19721214,20170228,179895107
003105,LC,18845,56830,20190718,E,45174J509
003107,LC,27422,20462,19620131,E,185899101
003121,LU,46578,20463,19680801,E,189054109
003129,LU,24193,6719,19831213,20150831,190345108
003138,LU,11995,1035,19821101,E,191098102
003144,LU,11308,20468,19500101,19620130,191216100
003144,LU,11308,20468,19620131,E,191216100
003153,LC,24441,1071,19790725,E,192108504
003157,LU,24476,1033,19721214,E,192479103
003170,LU,18729,20473,19620131,E,194162103
003170,LU,18729,20473,19500101,19620130,194162103
003221,LC,61735,20203,19800602,E,G0403H108
003226,LC,89525,43613,20021119,E,20030N101
003226,LC,89565,43613,20021119,20160129,20030N101
003231,LC,25081,1261,19721214,E,200340107
003238,LU,25129,779,19721214,E,200525103
003243,LC,70519,20483,19861029,E,172967424
003246,LU,30680,20484,19620702,E,201723103
003275,LU,25452,5195,19811118,E,203900204
003278,LC,25487,6391,19830914,E,053774105
003310,LC,25778,5220,19811215,20181130,12673P105
003336,LC,40125,20493,19640430,E,23355L106
003358,LU,26201,9654,19721214,E,205826209
003362,LC,56274,20495,19721214,E,205887102
003413,LU,11404,20499,19620131,E,209115104
003413,LU,11404,20499,19510101,19620130,209115104
003439,LC,23229,20361,19870527,E,125896100
003469,LC,91983,52253,20070515,E,212015101
003502,LU,27430,20518,19620131,20210630,216831107
003504,LU,65541,5780,19830121,E,216648402
003505,LC,59248,33,19750612,E,60871R209
003532,LU,22293,20523,19620131,E,219350105
003532,LU,22293,20523,19500101,19620130,219350105
003570,LC,27562,5169,19811105,E,22410J106
003580,LU,20204,20531,19620131,E,224441105
003580,LU,20204,20531,19500101,19620130,224441105
003607,LC,38420,20532,19620813,20090318,163893209
003607,LC,38420,20532,20101111,20170428,163893209
003619,LU,17726,20537,19620131,E,228368106
003619,LU,17726,20537,19500101,19620130,228368106
003639,LU,31077,20541,19660429,20210528,229669106
003643,LU,27888,840,19770708,E,229899109
003650,LU,41080,20543,19640910,E,231021106
003662,LC,18091,20546,19620131,E,231561101
003662,LC,18091,20546,19500101,19620130,231561101
003707,LC,83186,31782,19951101,20180430,233326107
003734,LC,92570,52956,20080201,E,235825205
003735,LC,49680,20557,19700130,E,235851102
003735,LC,49680,20557,19700101,19700129,235851102
003806,LC,80912,27333,20150212,E,239360100
003813,LU,49154,20561,19690908,E,87612E106
003835,LC,19350,20566,19620131,E,244199105
003835,LC,19350,20566,19491101,19620130,244199105
003851,LC,91926,20569,20070503,E,247361702
003863,LU,61743,1285,19721214,E,248019101
003897,LC,11674,20574,19620131,E,233331107
003905,LU,76708,10992,19910621,E,00737L103
003940,LC,69892,20580,19821101,19821231,253075204
003946,LU,40440,20582,19640427,E,253651103
003964,LU,49429,20584,19691027,E,254067101
003969,LC,44943,20585,19680131,E,254543101
003980,LC,26403,20587,19620131,E,254687106
004016,LC,93096,53264,20091113,E,256677105
004029,LC,64936,20592,19830602,E,25746U109
004036,LU,61313,1344,19721214,E,257651109
004040,LC,38682,20594,19621207,E,257867200
004058,LC,25953,20596,19620131,E,260003108
004058,LC,25953,20596,19600101,19620130,260003108
004060,LC,20626,20597,19500601,19620130,26614N102
004060,LC,16851,56027,20170901,E,26614N102
004060,LC,20626,20597,19620131,20170831,26614N102
004066,LU,30681,1367,19721214,E,681919106
004087,LC,11703,20606,19620131,20170831,263534109
004087,LC,11703,20606,19500101,19620130,263534109
004093,LC,27959,20608,19620131,E,26441C204
004094,LC,48506,20610,19690612,20001002,26484T106
004094,LC,88590,39133,20001003,20190228,26484T106
004094,LC,19495,57135,20200701,E,26484T106
004108,LU,30940,1425,19721214,E,34354P105
004115,LU,12008,7062,19840531,E,267475101
004145,LU,42200,20616,19650706,E,714046109
004186,LU,31480,20622,19620702,E,276317104
004193,LC,85082,32019,19970611,E,277276101
004201,LU,31500,1451,19730131,20210228,278265103
004213,LU,70578,1467,19721214,E,278865100
004241,LC,82855,1507,19960227,20200731,283677854
004242,LC,77481,22983,19920313,20120531,28336L109
004321,LC,22103,20643,19620131,E,291011104
004321,LC,22103,20643,19491001,19620130,291011104
004340,LU,32540,1523,19810430,20150529,292475209
004351,LU,26470,20649,19620131,20181130,29265N108
004367,LC,32791,1543,20210602,E,G48833118
004367,LC,32791,1543,19770101,19790130,G48833118
004367,LC,32791,1543,19790131,20150512,G48833118
004383,LU,32986,6748,19831228,E,049560105
004390,LU,47511,20653,19690120,E,293389102
004423,LU,52476,20659,19710511,E,294429105
004430,LC,24328,20662,19510101,19620130,26884L109
004430,LC,24328,20662,19620131,E,26884L109
004439,LU,33452,1577,19721214,E,294821608
004460,LU,50788,20671,19700623,20190329,297425100
004462,LU,42550,20672,19651014,E,651587107
004494,LU,87717,7232,19840926,E,302130109
004497,LU,33823,9028,19790629,E,23291C103
004503,LC,11850,20678,19620131,E,30231G102
004503,LC,11850,20678,19500101,19620130,30231G102
004510,LU,19166,20681,19620131,E,302491303
004510,LU,19166,20681,19500101,19620130,302491303
004517,LC,24205,20684,19620131,E,65339F101
004517,LC,24205,20684,19510101,19620130,65339F101
004560,LC,53866,20690,19720104,20150706,307000109
004598,LU,60628,1685,19780412,E,31428X106
004600,LC,92640,20694,20080423,20170131,313549404
004605,LC,58413,20697,19750609,E,313745101
004611,LU,77462,22856,19920317,E,55616P104
004622,LU,21135,20699,19620131,E,315405100
004622,LU,21135,20699,19500101,19620130,315405100
004640,LU,34746,1741,19800131,E,316773100
004640,LU,34746,1741,19800101,19800130,316773100
004674,LC,35044,1620,19721214,E,7591EP100
004678,LC,35167,5259,19820104,20160815,337915102
004682,LC,66157,1645,19721214,20010226,902973106
004685,LU,35263,1658,19730131,E,898402102
004699,LC,35554,1689,19721214,E,55261F104
004723,LC,66157,1645,20010227,E,902973304
004737,LU,36397,1856,19721214,E,320517105
004740,LU,50614,20723,19700521,20160802,976391300
004809,LC,88924,41367,20010328,E,343498101
004818,LC,88853,41080,20001222,E,343412102
004839,LC,25785,20750,19620131,E,345370860
004839,LC,25785,20750,19500101,19620130,345370860
004843,LC,45241,20753,19671024,20140630,345838106
004860,LU,37402,1852,19810609,E,350060109
004864,LC,18112,20757,20050603,20141231,H27178104
004864,LC,18112,20757,19620131,20030113,H27178104
004881,LU,37568,1688,19721214,E,353514102
004885,LU,37584,6407,19830923,E,354613101
004926,LU,37875,1868,19721214,E,359694106
004936,LC,37955,1959,19730330,20170321,361268105
004941,LC,12036,20773,19620131,E,361448103
004941,LC,12036,20773,19500101,19620130,361448103
004973,LU,38093,7094,19840620,E,363576109
004988,LC,47941,20782,19690310,E,87901J105
004990,LU,59010,1892,19760520,E,364760108
005018,LU,20765,20786,19491201,19620130,007800105
005018,LU,20765,20786,19620131,E,007800105
005046,LC,12052,20791,19620131,E,369550108
005046,LC,12052,20791,19540101,19620130,369550108
005047,LC,12060,20792,19500101,19620130,369604301
005047,LC,12060,20792,19620131,E,369604301
005071,LC,17144,20798,19500601,19620130,370334104
005071,LC,17144,20798,19620131,E,370334104
005072,LC,14558,53687,20140410,E,02005N100
005073,LC,12369,53554,20101118,E,37045V100
005109,LU,21055,20805,19491101,19620130,371532102
005109,LU,21055,20805,19620131,E,371532102
005116,LU,38659,5242,19811222,E,371901109
005125,LU,46674,20807,19680820,E,372460105
005180,LU,75064,1973,19721214,E,37733W204
005234,LU,16432,20834,19620131,E,382550101
005234,LU,16432,20834,19500101,19620130,382550101
005250,LC,85908,34684,19980408,20210930,38388F108
005252,LU,39571,2002,19721214,E,384109104
005254,LU,60468,2004,19721214,E,384556106
005256,LU,52695,20841,19710623,E,384802104
005284,LU,39731,1908,20040601,E,389375106
005284,LU,39731,1908,19721214,20040531,389375106
005342,LC,90213,45286,20040701,E,60935Y208
005439,LU,23819,20868,19500101,19620130,406216101
005439,LU,23819,20868,19620131,E,406216101
005492,LC,25582,20883,19620131,E,502431109
005496,LU,25304,20884,19620131,E,415864107
005496,LU,25304,20884,19600101,19620130,415864107
005518,LU,52978,20887,19710811,E,418056107
005523,LU,10294,2089,19860829,E,419596101
005526,LU,41187,20890,19641013,E,419870100
005539,LU,41292,6616,19831123,E,421906108
005543,LC,65947,2105,19780217,E,95040Q104
005560,LU,32651,20897,19620702,E,422704106
005567,LC,32678,20898,19630131,E,422806109
005568,LC,23077,20900,19620131,20130531,500754106
005568,LC,23077,20900,20130601,20130610,500754106
005568,LC,15408,55296,20150706,E,500754106
005568,LC,23077,20900,19500501,19620130,500754106
