transaction_date,owner,ticker,type,senator,amount
2022-08-01,Self,IVV,Sale (Full),Thomas H Tuberville,15001
2022-08-01,Self,EFAV,Sale (Full),Thomas H Tuberville,15001
2022-08-01,Self,XLY,Sale (Full),Thomas H Tuberville,15001
2022-08-01,Self,VTRS,Sale (Full),Thomas H Tuberville,1001
2022-08-01,Self,ABNFX,Purchase,Thomas H Tuberville,15001
2022-08-01,Self,RSP,Purchase,Thomas H Tuberville,15001
2022-08-01,Self,IDV,Purchase,Thomas H Tuberville,15001
2022-08-01,Self,DHS,Purchase,Thomas H Tuberville,15001
2022-08-01,Self,PCNNX,Sale (Full),Thomas H Tuberville,15001
2022-08-01,Joint,JHCBX,Sale (Full),Thomas H Tuberville,15001
2022-08-01,Joint,ORCL,Sale (Full),Thomas H Tuberville,1001
2022-08-01,Joint,XLC,Sale (Full),Thomas H Tuberville,15001
2022-08-01,Joint,TSCO,Sale (Full),Thomas H Tuberville,1001
2022-08-01,Joint,MUB,Purchase,Thomas H Tuberville,50001
2022-08-01,Joint,OC,Purchase,Thomas H Tuberville,15001
2022-08-26,Joint,SSYS,Sale (Full),Thomas H Tuberville,50001
2022-08-25,Joint,ARKK,Purchase,Thomas H Tuberville,50001
2022-08-05,Joint,INTC,Purchase,Thomas H Tuberville,1001
2022-08-05,Joint,INTC,Purchase,Thomas H Tuberville,100001
2022-08-18,Spouse,SQM,Purchase,Thomas R Carper,1001
2022-08-18,Spouse,FAST,Sale (Full),Thomas R Carper,1001
2022-08-19,Self,BKEPP,Sale (Full),"William F Hagerty, Iv",15001
2022-07-20,Self,HR,Exchange,Gary C Peters,1001
2022-07-18,Joint,CLF,Purchase,Thomas H Tuberville,50001
2022-07-14,Joint,ECOM,Purchase,Thomas H Tuberville,100001
2022-07-11,Spouse,GWW,Purchase,Shelley M Capito,1001
2022-07-01,Spouse,COST,Purchase,Shelley M Capito,1001
2022-06-23,Joint,LMT,Sale (Full),Debra S Fischer,50001
2022-06-23,Joint,KO,Sale (Full),Debra S Fischer,1001
2022-06-23,Joint,CSCO,Sale (Full),Debra S Fischer,1001
2022-06-23,Joint,CAT,Sale (Full),Debra S Fischer,50001
2021-12-28,Child,SBNY,Sale (Full),"William F Hagerty, Iv",15001
2021-12-28,Child,SBNY,Sale (Full),"William F Hagerty, Iv",15001
2021-12-28,Child,SBNY,Sale (Full),"William F Hagerty, Iv",15001
2022-06-16,Spouse,INTC,Sale (Full),Shelley M Capito,15001
2022-06-16,Spouse,F,Sale (Full),Shelley M Capito,1001
2022-06-30,Spouse,MMM,Sale (Full),Shelley M Capito,1001
2022-06-01,Spouse,CMS,Purchase,Shelley M Capito,1001
2022-06-17,Spouse,MSFT,Sale (Partial),Shelley M Capito,1001
2022-06-17,Spouse,IBM,Sale (Partial),Shelley M Capito,1001
2022-06-17,Spouse,INTC,Sale (Partial),Shelley M Capito,1001
2022-06-17,Spouse,KO,Sale (Partial),Shelley M Capito,1001
2022-06-17,Spouse,BMY,Sale (Partial),Shelley M Capito,1001
2022-06-21,Joint,RPM,Sale (Partial),Daniel S Sullivan,15001
2022-06-30,Self,VTIP,Sale (Full),Lindsey Graham,15001
2022-06-30,Self,IBDO,Purchase,Lindsey Graham,1001
2022-06-30,Self,IBDQ,Purchase,Lindsey Graham,15001
2022-06-17,Joint,BRK.B,Sale (Full),Thomas H Tuberville,100001
2022-06-29,Joint,PYPL,Purchase,Thomas H Tuberville,50001
2022-06-28,Joint,QCOM,Sale (Partial),Thomas H Tuberville,250001
2022-06-22,Joint,GOLD,Sale (Full),Thomas H Tuberville,50001
2022-06-21,Joint,X,Purchase,Thomas H Tuberville,100001
2022-06-21,Joint,SSYS,Purchase,Thomas H Tuberville,1001
2022-06-21,Joint,INTC,Purchase,Thomas H Tuberville,50001
2022-06-17,Joint,SCCO,Sale (Full),Thomas H Tuberville,100001
2022-06-17,Joint,PYPL,Purchase,Thomas H Tuberville,100001
2022-06-17,Joint,EVT,Sale (Full),Thomas H Tuberville,50001
2022-06-17,Joint,CVX,Sale (Full),Thomas H Tuberville,1001
2022-06-16,Joint,QCOM,Purchase,Thomas H Tuberville,250001
2022-06-16,Joint,PYPL,Purchase,Thomas H Tuberville,1001
2022-06-14,Joint,SSYS,Purchase,Thomas H Tuberville,1001
2022-06-09,Joint,SSYS,Purchase,Thomas H Tuberville,15001
2022-06-09,Joint,INTC,Purchase,Thomas H Tuberville,15001
2022-06-06,Joint,EVT,Purchase,Thomas H Tuberville,15001
2022-06-01,Joint,ECOM,Purchase,Thomas H Tuberville,1001
