permno,secinfostartdt,secinfoenddt,securitybegdt,securityenddt,securityhdrflg,hdrcusip,hdrcusip9,cusip,cusip9,primaryexch,conditionaltype,exchangetier,tradingstatusflg,securitynm,shareclass,usincflg,issuertype,securitytype,securitysubtype,sharetype,securityactiveflg,delactiontype,delstatustype,delreasontype,delpaymenttype,ticker,tradingsymbol,permco,siccd,naics,icbindustry,nasdcompno,nasdissuno,issuernm,yyyymmdd,dlycaldt,dlydelflg,dlyprc,dlyprcflg,dlycap,dlycapflg,dlyprevprc,dlyprevprcflg,dlyprevdt,dlyprevcap,dlyprevcapflg,dlyret,dlyretx,dlyreti,dlyretmissflg,dlyretdurflg,dlyorddivamt,dlynonorddivamt,dlyfacprc,dlydistretflg,dlyvol,dlyclose,dlylow,dlyhigh,dlybid,dlyask,dlyopen,dlynumtrd,dlymmcnt,dlyprcvol,shrstartdt,shrenddt,shrout,shrsource,shrfactype,shradrflg,disexdt,disseqnbr,disordinaryflg,distype,disfreqtype,dispaymenttype,disdetailtype,distaxtype,disorigcurtype,disdivamt,disfacpr,disfacshr,disdeclaredt,disrecorddt,dispaydt,dispermno,dispermco,vwretd,vwretx,ewretd,ewretx,sprtrn
87432.0,2021-04-01,2022-06-30,1999-11-18,2022-06-30,Y,00846U10,00846U101,00846U10,00846U101,N,RW,N/A,A,AGILENT TECHNOLOGIES INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,A,A,36364.0,3825.0,334515,HEALTH,0.0,0.0,AGILENT TECHNOLOGIES INC,20141002.0,2014-10-02,N,55.83,TR,18620030.79,BP,56.2,TR,2014-10-01,18743430.6,PB,-0.006583629893238434,-0.006583629893238434,0.0,NA,D1,0.0,0.0,1.0,NO,1708052.0,55.83,55.29,56.24,55.83,55.84,56.13,,,95360543.16,2014-09-30,2014-10-30,333513.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.00077632692409679,0.00071861851029098,0.0032242743764073,0.0032022057566792,5.13832355864e-06
87432.0,2021-04-01,2022-06-30,1999-11-18,2022-06-30,Y,00846U10,00846U101,00846U10,00846U101,N,RW,N/A,A,AGILENT TECHNOLOGIES INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,A,A,36364.0,3825.0,334515,HEALTH,0.0,0.0,AGILENT TECHNOLOGIES INC,20150224.0,2015-02-24,N,42.06,TR,14128038.12,BP,41.73,TR,2015-02-23,14017190.46,PB,0.007907979870596693,0.007907979870596693,0.0,NA,D1,0.0,0.0,1.0,NO,1922102.0,42.06,41.6,42.105,42.05,42.06,41.62,,,80843610.12,2015-01-30,2015-02-26,335902.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.0022921934723854,0.0022712047211826,0.0032744179479778,0.0032625903841108,0.0027587383519858
87432.0,2021-04-01,2022-06-30,1999-11-18,2022-06-30,Y,00846U10,00846U101,00846U10,00846U101,N,RW,N/A,A,AGILENT TECHNOLOGIES INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,A,A,36364.0,3825.0,334515,HEALTH,0.0,0.0,AGILENT TECHNOLOGIES INC,20150824.0,2015-08-24,N,34.68,TR,11555098.56,BP,36.23,TR,2015-08-21,12071546.16,PB,-0.04278222467568314,-0.04278222467568314,0.0,NA,D3,0.0,0.0,1.0,NO,4114990.0,34.68,33.57,36.01,34.68,34.69,33.87,,,142707853.2,2015-07-31,2015-08-30,333192.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.038609046489,-0.038636758923531,-0.034963853657246,-0.035165078938007,-0.039413664489985
87432.0,2021-04-01,2022-06-30,1999-11-18,2022-06-30,Y,00846U10,00846U101,00846U10,00846U101,N,RW,N/A,A,AGILENT TECHNOLOGIES INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,A,A,36364.0,3825.0,334515,HEALTH,0.0,0.0,AGILENT TECHNOLOGIES INC,20160913.0,2016-09-13,N,44.9,TR,14615937.8,BP,45.75,TR,2016-09-12,14892631.5,PB,-0.01857923497267759,-0.01857923497267759,0.0,NA,D1,0.0,0.0,1.0,NO,3461832.0,44.9,44.61,45.42,44.89,44.9,45.36,,,155436256.79999998,2016-08-31,2016-09-29,325522.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.015862623229623,-0.016210898756981,-0.015947664156556,-0.016224587336183,-0.014830665662885
16347.0,2019-12-27,2022-06-30,2016-11-01,2022-06-30,Y,01387210,013872106,01387210,013872106,N,RW,N/A,A,ALCOA CORP; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AA,AA,55718.0,3355.0,331318,BASMAT,0.0,0.0,ALCOA CORP,20200413.0,2020-04-13,N,7.55,TR,1403658.25,BP,7.41,TR,2020-04-09,1377630.15,PB,0.01889338731443995,0.01889338731443995,0.0,NA,D4,0.0,0.0,1.0,NO,9563893.0,7.55,7.12,7.75,7.54,7.55,7.48,,,72207392.14999999,2020-03-31,2020-04-29,185915.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.010146466083825,-0.010164614766836,-0.0071051586419344,-0.0071277604438365,-0.010104594752193
16347.0,2019-12-27,2022-06-30,2016-11-01,2022-06-30,Y,01387210,013872106,01387210,013872106,N,RW,N/A,A,ALCOA CORP; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AA,AA,55718.0,3355.0,331318,BASMAT,0.0,0.0,ALCOA CORP,20210106.0,2021-01-06,N,25.21,TR,4687295.3,BP,23.67,TR,2021-01-05,4400963.1,PB,0.06506125897760878,0.06506125897760878,0.0,NA,D1,0.0,0.0,1.0,NO,5656874.0,25.21,24.4,25.66,25.21,25.22,24.5,,,142609793.54,2020-12-31,2021-01-28,185930.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.0080371247604489,0.0080215251073241,0.017268775030971,0.017259180545807,0.005709900520742
16347.0,2019-12-27,2022-06-30,2016-11-01,2022-06-30,Y,01387210,013872106,01387210,013872106,N,RW,N/A,A,ALCOA CORP; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AA,AA,55718.0,3355.0,331318,BASMAT,0.0,0.0,ALCOA CORP,20210316.0,2021-03-16,N,29.52,TR,5498159.04,BP,31.04,TR,2021-03-15,5781262.08,PB,-0.04896907216494845,-0.04896907216494845,0.0,NA,D1,0.0,0.0,1.0,NO,5035665.0,29.52,29.29,30.785,29.51,29.52,30.75,,,148652830.8,2021-02-26,2021-03-30,186252.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.0042822444811463,-0.0043186512775719,-0.010859836824238,-0.010961469262838,-0.0015696886694059
16347.0,2019-12-27,2022-06-30,2016-11-01,2022-06-30,Y,01387210,013872106,01387210,013872106,N,RW,N/A,A,ALCOA CORP; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AA,AA,55718.0,3355.0,331318,BASMAT,0.0,0.0,ALCOA CORP,20210419.0,2021-04-19,N,36.03,TR,6713145.63,BP,35.63,TR,2021-04-16,6638617.23,PB,0.01122649452708392,0.01122649452708392,0.0,NA,D3,0.0,0.0,1.0,NO,10102393.0,36.03,34.81,36.54,36.03,36.04,35.4,,,363989219.79,2021-03-31,2021-04-29,186321.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.0069271228276193,-0.0069591430947185,-0.0084177255630493,-0.0084528271108866,-0.0053064529784024
16347.0,2019-12-27,2022-06-30,2016-11-01,2022-06-30,Y,01387210,013872106,01387210,013872106,N,RW,N/A,A,ALCOA CORP; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AA,AA,55718.0,3355.0,331318,BASMAT,0.0,0.0,ALCOA CORP,20210719.0,2021-07-19,N,31.62,TR,5904244.5,BP,32.95,TR,2021-07-16,6152588.75,PB,-0.04036418816388467,-0.04036418816388467,0.0,NA,D3,0.0,0.0,1.0,NO,12140838.0,31.62,30.995,32.45,31.61,31.62,31.99,,,383893297.56,2021-06-30,2021-07-29,186725.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.014629043638706,-0.014643895439804,-0.013580456376076,-0.013609373942018,-0.015869531780481
16347.0,2019-12-27,2022-06-30,2016-11-01,2022-06-30,Y,01387210,013872106,01387210,013872106,N,RW,N/A,A,ALCOA CORP; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AA,AA,55718.0,3355.0,331318,BASMAT,0.0,0.0,ALCOA CORP,20210729.0,2021-07-29,N,39.37,TR,7351363.25,BP,38.23,TR,2021-07-28,7138496.75,PB,0.029819513471096,0.029819513471096,0.0,NA,D1,0.0,0.0,1.0,NO,6648512.0,39.37,38.78,40.0,39.36,39.37,38.94,,,261751917.44,2021-06-30,2021-07-29,186725.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.0045466329902411,0.0044320137239993,0.003876541974023,0.0038103272672743,0.0042062061838806
