GVKEY,CIQID,,Company Name
27885,IQ99942756,,"The Trade Desk, Inc. (NasdaqGM:TTD)"
18629,IQ99856262,,"LGI Homes, Inc. (NasdaqGS:LGIH)"
185821,IQ99798146,,Horizon Technology Finance Corporation (NasdaqGS:HRZN)
16892,IQ99718677,,"TRI Pointe Homes, Inc."
9771,IQ997111,,A. O. Smith Corporation (NYSE:AOS)
5342,IQ9962209,,"MoneyGram International, Inc. (NasdaqGS:MGI)"
160549,IQ9956099,,Liberty Global plc (NasdaqGS:LBTY.A)
146648,IQ99457,,"Cutera, Inc. (NasdaqGS:CUTR)"
14269,IQ9938532,,Herbalife Nutrition Ltd. (NYSE:HLF)
18320,IQ99357919,,Fox Factory Holding Corp. (NasdaqGS:FOXF)
7585,IQ99186,,"Motorola Solutions, Inc. (NYSE:MSI)"
170520,IQ9913586,,"Radius Health, Inc."
220546,IQ989228,,Equinor ASA (OB:EQNR)
128978,IQ98885,,Packaging Corporation of America (NYSE:PKG)
5597,IQ98873,,The Hershey Company (NYSE:HSY)
161013,IQ9885902,,BioMed Realty Trust Inc.
164633,IQ9870193,,"Home Bancshares, Inc. (Conway, AR) (NYSE:HOMB)"
174531,IQ985438,,Mitel Networks Corporation
25893,IQ98514,,"SiteOne Landscape Supply, Inc. (NYSE:SITE)"
2991,IQ98506,,Chevron Corporation (NYSE:CVX)
34443,IQ9830660,,Dow Inc. (NYSE:DOW)
185018,IQ98232368,,"Hudson Pacific Properties, Inc. (NYSE:HPP)"
35133,IQ98185698,,"Slack Technologies, LLC"
33301,IQ9817309,,"DocuSign, Inc. (NasdaqGS:DOCU)"
178310,IQ97999,,Teradata Corporation (NYSE:TDC)
7260,IQ97953,,Meredith Corporation
147204,IQ97928,,"Cogent Communications Holdings, Inc. (NasdaqGS:CCOI)"
62602,IQ97870,,Sapient Corp.
161966,IQ9771238,,Ares Capital Corporation (NasdaqGS:ARCC)
160378,IQ9771208,,Gramercy Property Trust
260893,IQ97706,,"Blackbaud, Inc. (NasdaqGS:BLKB)"
178814,IQ975327,,"Sculptor Capital Management, Inc. (NYSE:SCU)"
101317,IQ97461,,Smith & Nephew plc (LSE:SN.)
177782,IQ9732253,,BlackRock Capital Investment Corporation (NasdaqGS:BKCC)
160233,IQ9732251,,Prospect Capital Corporation (NasdaqGS:PSEC)
143357,IQ972190,,Accenture plc (NYSE:ACN)
142811,IQ972117,,"FMC Technologies, Inc."
4809,IQ972115,,"Flowers Foods, Inc. (NYSE:FLO)"
7985,IQ97199,,Northrop Grumman Corporation (NYSE:NOC)
286017,IQ9708643,,Mazor Robotics Ltd.
10530,IQ97023,,Thermo Fisher Scientific Inc. (NYSE:TMO)
37188,IQ968903,,MultiPlan Corporation (NYSE:MPLN)
160255,IQ9681063,,Hospira Inc.
13710,IQ96760,,"Cedar Fair, L.P. (NYSE:FUN)"
22129,IQ9637643,,Inotek Pharmaceuticals Corporation
63781,IQ96334,,Wintrust Financial Corporation (NasdaqGS:WTFC)
160207,IQ9620336,,StoneMor Inc. (NYSE:STON)
4066,IQ96161,,Omnicom Group Inc. (NYSE:OMC)
122078,IQ96081,,NIC Inc.
29241,IQ96079,,Viavi Solutions Inc. (NasdaqGS:VIAV)
28195,IQ96078,,Jabil Inc. (NYSE:JBL)
165358,IQ960673,,"American Industrial Transport, Inc."
185775,IQ96056512,,abrdn Precious Metals Basket ETF - abrdn Physical Precious Metals Basket Shares ETF (ARCA:GLTR)
266315,IQ9589732,,Kite Realty Group Trust (NYSE:KRG)
266257,IQ9589328,,MidCap Financial Investment Corporation (NasdaqGS:MFIC)
14256,IQ95673,,"Maxim Integrated Products, Inc."
142230,IQ956269,,"Magellan Midstream Partners, L.P. (NYSE:MMP)"
5072,IQ955855,,Ally Financial Inc. (NYSE:ALLY)
146171,IQ955448,,ManTech International Corporation
177225,IQ955392,,"Cavium, Inc."
165436,IQ9546960,,Calamos Global Total Return Fund (NasdaqGS:CGO)
266214,IQ9517028,,"Cohen & Steers, Inc. (NYSE:CNS)"
179925,IQ95153,,"Rackspace Technology Global, Inc."
187694,IQ9502535,,Duff & Phelps Utility and Infrastructure Fund Inc. (NYSE:DPG)
8079,IQ94799,,"Oceaneering International, Inc. (NYSE:OII)"
10453,IQ94728,,"Teradyne, Inc. (NasdaqGS:TER)"
10115,IQ94614,,Stryker Corporation (NYSE:SYK)
24021,IQ94613,,Haemonetics Corporation (NYSE:HAE)
19412,IQ9425271,,"Intra-Cellular Therapies, Inc. (NasdaqGS:ITCI)"
30662,IQ94238,,Sirius XM Holdings Inc. (NasdaqGS:SIRI)
23810,IQ94192,,ION Geophysical Corporation
17408,IQ9390969,,Navigator Holdings Ltd. (NYSE:NVGS)
7241,IQ93625,,CVS Health Corporation (NYSE:CVS)
11264,IQ93624,,"Walgreens Boots Alliance, Inc. (NasdaqGS:WBA)"
9155,IQ93614,,Rite Aid Corporation (NYSE:RAD)
2271,IQ93547,,"Oregon Tool, Inc."
110685,IQ93538,,"L3 Technologies, Inc."
184725,IQ934467,,NXP Semiconductors N.V. (NasdaqGS:NXPI)
2596,IQ93425,,CACI International Inc (NYSE:CACI)
17874,IQ93339,,"T-Mobile US, Inc. (NasdaqGS:TMUS)"
127377,IQ93136,,"BGC Partners, Inc. (NasdaqGS:BGCP)"
6788,IQ93030,,Range Resources Corporation (NYSE:RRC)
65006,IQ93027,,"Helix Energy Solutions Group, Inc. (NYSE:HLX)"
25509,IQ93025,,"Superior Energy Services, Inc."
29028,IQ92817,,Costco Wholesale Corporation (NasdaqGS:COST)
3105,IQ92768,,"iHeartMedia, Inc. (NasdaqGS:IHRT)"
116772,IQ92578,,"Blucora, Inc. (NasdaqGS:BCOR)"
179700,IQ9247431,,"Dr Pepper Snapple Group, Inc."
28606,IQ920695,,"BlackRock MuniAssets Fund, Inc. (NYSE:MUA)"
1447,IQ92001,,American Express Company (NYSE:AXP)
175376,IQ91825,,"Shutterfly, LLC"
9411,IQ91823,,The Hillshire Brands Company
62634,IQ91800,,Altaba Inc.
162941,IQ9179990,,Triangle Petroleum Corporation
4040,IQ91797,,R. R. Donnelley & Sons Company
260850,IQ9177226,,LMP Capital and Income Fund Inc. (NYSE:SCD)
260853,IQ9176882,,Western Asset Inflation-Linked Opportunities & Income Fund (NYSE:WIW)
260846,IQ9173204,,John Hancock Tax-Advantaged Dividend Income Fund (NYSE:HTD)
160776,IQ913010,,Signature Bank (NasdaqGS:SBNY)
126417,IQ91192,,Finisar Corporation
180423,IQ91183,,"LendingTree, Inc. (NasdaqGS:TREE)"
170904,IQ9114053,,"Tumi Holdings, Inc."
137131,IQ91093,,"Charles River Laboratories International, Inc. (NYSE:CRL)"
12886,IQ91031,,TFCF Corporation
175263,IQ909408,,The Western Union Company (NYSE:WU)
133766,IQ90442,,"HealthStream, Inc. (NasdaqGS:HSTM)"
