ticker_q,sql
35G.SG,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='35G.SG' AND dlycaldt IN ('2021-02-26', '2021-02-26');"
7XY,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='7XY' AND dlycaldt IN ('2021-11-19');
A,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='A' AND dlycaldt IN ('2021-02-16', '2020-04-09', '2021-11-18');"
AA,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AA' AND dlycaldt IN ('2020-11-17', '2019-12-18', '2022-08-02', '2022-08-04', '2022-08-19', '2022-08-22', '2022-08-30', '2022-08-31');"
AAGIY,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AAGIY' AND dlycaldt IN ('2021-02-17', '2021-01-28', '2020-01-03', '2020-01-13', '2019-04-08', '2019-02-15', '2019-06-24', '2020-03-27', '2021-01-12', '2021-12-06', '2021-09-27', '2020-04-17');"
AAIC$B,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AAIC$B' AND dlycaldt IN ('2021-03-31', '2022-04-01', '2022-04-06');"
AAIGF,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AAIGF' AND dlycaldt IN ('2021-02-08');
AAL,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AAL' AND dlycaldt IN ('2021-03-18', '2020-05-13', '2020-07-09', '2020-10-26', '2020-11-09', '2021-08-10', '2021-08-10', '2020-11-30', '2021-03-16', '2021-03-24', '2021-10-04', '2020-03-25', '2020-12-10', '2020-06-09', '2020-06-11', '2020-06-25', '2020-03-25', '2021-03-24', '2021-01-05', '2021-06-24', '2021-05-26', '2021-05-24', '2021-05-26', '2021-06-24', '2020-12-18', '2020-05-19', '2020-04-23', '2020-04-23', '2020-07-14', '2020-05-26', '2020-06-01');"
AAM$A,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AAM$A' AND dlycaldt IN ('2022-06-13', '2022-04-19', '2022-04-22');"
AAN,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AAN' AND dlycaldt IN ('2020-03-09', '2020-03-23');"
AAPL,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AAPL' AND dlycaldt IN ('2021-11-18', '2020-07-22', '2020-10-09', '2022-02-23', '2020-08-28', '2021-01-15', '2021-01-15', '2021-08-11', '2020-03-27', '2021-02-16', '2022-04-18', '2020-02-24', '2020-03-18', '2020-08-25', '2022-05-20', '2022-05-13', '2021-07-06', '2022-09-06', '2022-09-06', '2020-04-27', '2021-11-15', '2020-09-23', '2020-02-26', '2020-02-03', '2020-01-08', '2020-01-02', '2020-01-02', '2020-01-29', '2020-01-14', '2022-01-28', '2020-04-15', '2020-04-15', '2021-07-09', '2020-06-18', '2020-11-19', '2020-10-16', '2020-05-01', '2020-05-07', '2020-11-04', '2020-11-17', '2020-07-24', '2020-02-28', '2020-03-02', '2020-03-03', '2020-02-28', '2020-03-02', '2020-03-03', '2020-03-03', '2020-07-23', '2020-08-20', '2020-08-20', '2020-10-29', '2020-01-14', '2020-01-28', '2020-02-18', '2020-04-13', '2022-05-13', '2022-05-24', '2020-02-20', '2020-03-05', '2020-03-23', '2020-03-20', '2020-03-23', '2020-07-14', '2019-12-16', '2021-12-30', '2021-01-04', '2021-01-15', '2020-01-13', '2021-07-28', '2021-06-22', '2020-07-01', '2021-09-10', '2020-12-22', '2020-04-03', '2020-04-03', '2021-10-19', '2020-01-02', '2020-12-10', '2020-09-02', '2020-09-08', '2020-09-08', '2020-10-30', '2022-06-14', '2022-03-22', '2020-06-29', '2021-07-19', '2022-09-06', '2021-05-12', '2022-03-21', '2021-02-25', '2021-03-04', '2021-02-24', '2021-03-04', '2021-03-04', '2021-03-26', '2021-04-30', '2021-05-11', '2020-09-03', '2020-09-03', '2022-02-24', '2020-03-04', '2019-12-31', '2021-03-22', '2021-03-15', '2022-04-21', '2021-08-19', '2020-02-03', '2022-01-21', '2020-04-06', '2019-02-05', '2019-08-28', '2020-09-08', '2020-01-29', '2021-07-27', '2020-06-24', '2020-06-01', '2020-06-19', '2021-10-29', '2021-11-26', '2019-07-31', '2019-09-03', '2019-10-14', '2019-10-14', '2019-10-31', '2019-12-02', '2020-10-22', '2020-10-22', '2022-06-17', '2022-03-09', '2022-03-15', '2021-12-30', '2021-12-30', '2018-11-04', '2018-12-19', '2021-01-20', '2021-01-20', '2021-01-29', '2021-02-04', '2021-02-05', '2021-02-08', '2021-12-22', '2020-06-26', '2020-07-06', '2021-01-11', '2021-01-22', '2020-11-10', '2020-11-05', '2021-05-21', '2020-08-07', '2020-11-20', '2021-10-29', '2019-12-23', '2020-04-30', '2020-04-30', '2022-05-11', '2022-04-19', '2021-07-02', '2020-10-16', '2020-10-16', '2021-10-28', '2022-07-15', '2020-11-06', '2021-12-01', '2022-01-21', '2020-05-19', '2020-05-08', '2020-05-08', '2020-05-08', '2019-12-02', '2019-12-06', '2019-12-03', '2019-12-06', '2021-06-18', '2019-12-18', '2020-11-24', '2020-09-04', '2020-09-15', '2020-09-01', '2020-04-02', '2021-07-19', '2020-04-20', '2020-03-23', '2020-03-09', '2020-05-18', '2020-04-22');"
AAPl,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AAPl' AND dlycaldt IN ('2021-08-13', '2021-12-14', '2022-01-06', '2022-03-22', '2021-12-31', '2022-02-28', '2021-06-24');"
AATC,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AATC' AND dlycaldt IN ('2022-07-22');
AAVMY,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AAVMY' AND dlycaldt IN ('2020-03-18', '2020-11-13');"
AAWW,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AAWW' AND dlycaldt IN ('2019-12-19');
AAl,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AAl' AND dlycaldt IN ('2021-05-26');
AB,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='AB' AND dlycaldt IN ('2021-02-18', '2021-02-23', '2020-12-22', '2022-01-27');"
ABALX,SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='ABALX' AND dlycaldt IN ('2020-01-16');
ABB,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='ABB' AND dlycaldt IN ('2021-01-20', '2020-04-03', '2020-04-03', '2021-07-27', '2021-07-27', '2022-05-11', '2020-11-10', '2020-11-05', '2021-11-26', '2022-02-17');"
ABBV,"SELECT * FROM crsp.wrds_dsfv2_query WHERE ticker='ABBV' AND dlycaldt IN ('2022-01-28', '2020-02-27', '2021-02-16', '2022-02-18', '2022-02-09', '2021-11-26', '2022-08-05', '2021-12-13', '2022-06-16', '2021-08-09', '2021-06-16', '2020-11-17', '2020-10-13', '2020-06-29', '2020-11-19', '2020-11-17', '2020-11-19', '2021-04-30', '2020-12-22', '2019-12-11', '2021-06-18', '2021-07-23', '2021-02-11', '2021-02-11', '2022-03-08', '2022-03-17', '2020-01-07', '2019-07-02', '2020-11-20', '2020-05-08');"
